@relation validationSet

@attribute ID numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute t3 numeric
@attribute t4 numeric
@attribute t5 numeric
@attribute t6 numeric
@attribute t7 numeric
@attribute t8 numeric
@attribute t9 numeric
@attribute t10 numeric
@attribute t11 numeric
@attribute t12 numeric
@attribute t13 numeric
@attribute t14 numeric
@attribute t15 numeric
@attribute t16 numeric
@attribute t17 numeric
@attribute t18 numeric
@attribute t19 numeric
@attribute t20 numeric
@attribute t21 numeric
@attribute t22 numeric
@attribute t23 numeric
@attribute t24 numeric
@attribute t25 numeric
@attribute t26 numeric
@attribute t27 numeric
@attribute t28 numeric
@attribute t29 numeric
@attribute t30 numeric
@attribute class {0,1}

@data
4570728,0.15590806,0.06340967,0.02113656,0.84409194,1.00000000,1.00030917,0.00044633,876.0,130.0,14.0,2.13584475,0.36831480,2.04615385,0.20981818,2.00000000,0.00000000,0.99947564,0.00016646,0.99927559,0.00015347,0.99913132,0.00005835,0.99937681,0.00021725,0.99919522,0.00018634,0.99907727,0.00008490,7.05553584,4.84126340,0
4570758,0.15725220,0.06627027,0.02190735,0.84274780,1.00000000,0.99962627,0.00017157,916.0,162.0,18.0,2.14410480,0.38386987,2.04938272,0.21666579,2.00000000,0.00000000,0.99979668,0.00007773,0.99972085,0.00008252,0.99961606,0.00007362,0.99975813,0.00009735,0.99968905,0.00009478,0.99958986,0.00008691,7.05453232,4.85386911,0
4570765,0.15616968,0.06591329,0.02304735,0.84383032,1.00000000,0.99979919,0.00021183,922.0,170.0,21.0,2.14099783,0.39198903,2.05294118,0.22391607,2.00000000,0.00000000,0.99985895,0.00017821,0.99978909,0.00015607,0.99973078,0.00014566,0.99983134,0.00018371,0.99976797,0.00015939,0.99971472,0.00014447,7.14829807,5.06964326,0
4570768,0.15580412,0.06354464,0.02122401,0.84419588,1.00000000,1.00054064,0.00052492,722.0,107.0,8.0,2.13573407,0.35831643,2.04672897,0.21105775,2.12500000,0.33071891,0.99938329,0.00020034,0.99916819,0.00020265,0.99898418,0.00017279,0.99926864,0.00025948,0.99908335,0.00024380,0.99893461,0.00023074,7.13495039,5.03442198,0
4570788,0.15460110,0.06392779,0.02099803,0.84539890,1.00000000,0.99969272,0.00035030,901.0,133.0,11.0,2.12430633,0.37109445,2.04511278,0.20755148,2.00000000,0.00000000,0.99964552,0.00020759,0.99951786,0.00022026,0.99938513,0.00011288,0.99957795,0.00023340,0.99944915,0.00025284,0.99931299,0.00014063,7.19400289,5.08603084,0
7353107,0.15571338,0.06584340,0.02354957,0.84428662,1.00000000,0.99968418,0.00034024,1578.0,454.0,95.0,2.44930292,0.77934531,2.25991189,0.55794304,2.16842105,0.47356724,0.99968597,0.00025346,0.99958905,0.00023323,0.99949645,0.00019831,0.99962563,0.00026101,0.99954197,0.00024067,0.99945367,0.00020476,8.78652322,6.65525956,0
7353166,0.15445729,0.06367027,0.02155912,0.84554271,1.00000000,1.00062044,0.00026707,992.0,162.0,15.0,2.14919355,0.43058399,2.06790123,0.37062748,2.13333333,0.49888765,0.99970636,0.00014963,0.99958841,0.00014979,0.99948130,0.00018510,0.99964784,0.00017749,0.99952949,0.00018361,0.99940818,0.00022789,7.26275217,5.13503199,0
7353208,0.15819429,0.06646274,0.02180200,0.84180571,1.00000000,1.00004139,0.00016619,1088.0,181.0,12.0,2.15073529,0.41043311,2.03314917,0.17902599,2.00000000,0.00000000,0.99981246,0.00007946,0.99974129,0.00007719,0.99967839,0.00007186,0.99977363,0.00009828,0.99970748,0.00009245,0.99964310,0.00009255,7.09596929,4.87820991,0
7353250,0.15541630,0.06249896,0.02081082,0.84458370,1.00000000,0.99913364,0.00136095,1172.0,203.0,14.0,2.15187713,0.41202682,2.05911330,0.23583663,2.07142857,0.25753938,0.99922225,0.00120100,0.99906119,0.00092376,0.99860177,0.00054348,0.99907641,0.00122767,0.99893162,0.00093885,0.99849645,0.00056138,7.23513986,5.02850969,0
7353256,0.15792974,0.06766667,0.02207131,0.84207026,1.00000000,1.00002762,0.00017200,1227.0,262.0,28.0,2.15077425,0.41870173,2.05725191,0.24820902,2.00000000,0.00000000,0.99980151,0.00008425,0.99973130,0.00008125,0.99966784,0.00007729,0.99976412,0.00009916,0.99969998,0.00009398,0.99964726,0.00008953,7.17979243,4.92818085,0
7353304,0.15572220,0.06392842,0.02097997,0.84427780,1.00000000,1.00007513,0.00051194,1122.0,205.0,19.0,2.13814617,0.38183736,2.05365854,0.22534262,2.00000000,0.00000000,0.99943060,0.00024669,0.99924491,0.00025969,0.99897816,0.00029211,0.99932069,0.00029222,0.99914872,0.00029858,0.99889154,0.00033930,7.18311322,5.05916968,0
7353331,0.15533146,0.06396398,0.02156866,0.84466854,1.00000000,0.99990555,0.00054447,1112.0,166.0,19.0,2.10881295,0.31995058,2.04216867,0.20097382,2.00000000,0.00000000,0.99936637,0.00021639,0.99912556,0.00018728,0.99894469,0.00016464,0.99924497,0.00028463,0.99902175,0.00025327,0.99887233,0.00019696,7.11711712,4.99336386,0
