@relation trainingSet

@attribute ID numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute t3 numeric
@attribute t4 numeric
@attribute t5 numeric
@attribute t6 numeric
@attribute t7 numeric
@attribute t8 numeric
@attribute t9 numeric
@attribute t10 numeric
@attribute t11 numeric
@attribute t12 numeric
@attribute t13 numeric
@attribute t14 numeric
@attribute t15 numeric
@attribute t16 numeric
@attribute t17 numeric
@attribute t18 numeric
@attribute t19 numeric
@attribute t20 numeric
@attribute t21 numeric
@attribute t22 numeric
@attribute t23 numeric
@attribute t24 numeric
@attribute t25 numeric
@attribute t26 numeric
@attribute t27 numeric
@attribute t28 numeric
@attribute t29 numeric
@attribute t30 numeric
@attribute class {0,1}

@data
3120355,0.15580011,0.06416496,0.02078917,0.84419989,1.00000000,1.00034664,0.00044370,1122.0,187.0,18.0,2.14349376,0.40484753,2.04812834,0.21403739,2.05555556,0.22906142,0.99949074,0.00020756,0.99931217,0.00021531,0.99909906,0.00017507,0.99938811,0.00025880,0.99923437,0.00024346,0.99902240,0.00018083,7.11643535,4.99560363,1
3120904,0.15546893,0.06598698,0.02167816,0.84453107,1.00000000,0.99887336,0.00023565,1125.0,209.0,23.0,2.14844444,0.39800589,2.04306220,0.22533803,2.00000000,0.00000000,0.99983702,0.00019424,0.99978650,0.00018511,0.99973976,0.00018010,0.99980687,0.00019815,0.99976167,0.00018823,0.99971158,0.00017941,7.20642978,4.99695294,1
3128552,0.15531290,0.06535103,0.02200596,0.84468710,1.00000000,1.00006837,0.00048286,1006.0,190.0,31.0,2.19781312,0.50409377,2.12105263,0.37145368,2.16129032,0.44698085,0.99954323,0.00035421,0.99935008,0.00039110,0.99914789,0.00039868,0.99945217,0.00038208,0.99926756,0.00040609,0.99905972,0.00042185,7.43922600,5.14200177,1
3217264,0.13644540,0.05448198,0.01969829,0.86355460,1.00000000,0.99938934,0.00030313,833.0,162.0,60.0,2.45498199,1.43132584,3.74691358,2.61833924,6.10000000,2.03059925,0.99965395,0.00032692,0.99925952,0.00055078,0.99849904,0.00042174,0.99938628,0.00063263,0.99868102,0.00074164,0.99816124,0.00038938,8.37074711,6.27838682,1
4035640,0.15423355,0.06392989,0.02158607,0.84576645,1.00000000,0.99706262,0.00649661,1330.0,287.0,61.0,2.25413534,0.63013440,2.20905923,0.58867490,2.11475410,0.36656852,0.99925184,0.00639621,0.99840987,0.00624531,0.99936292,0.00565432,0.99911629,0.00637285,0.99833314,0.00622367,0.99910500,0.00563940,7.60678947,5.37441684,1
4043190,0.15677519,0.06696058,0.02300475,0.84322481,1.00000000,1.00003463,0.00021547,1302.0,294.0,40.0,2.19815668,0.44590264,2.11564626,0.34040805,2.10000000,0.30000000,0.99982547,0.00016777,0.99975909,0.00016844,0.99978350,0.00018097,0.99978918,0.00017507,0.99972763,0.00017178,0.99976030,0.00018401,7.52379316,5.18126928,1
4049131,0.14986493,0.06262740,0.02142822,0.85013507,1.00000000,0.99676705,0.00586508,1223.0,293.0,100.0,2.47260834,1.03922749,2.77133106,1.31890841,2.98000000,1.19983332,0.99902400,0.00555518,0.99829848,0.00528875,0.99804537,0.00526955,0.99879083,0.00552399,0.99799726,0.00534589,0.99782284,0.00549043,8.02536290,5.62400580,1
4055304,0.15434630,0.06533627,0.02339035,0.84565370,1.00000000,0.98961544,0.01011882,1401.0,331.0,75.0,2.28765168,0.64290804,2.20845921,0.58329286,2.25333333,0.74999259,0.99802903,0.00950009,0.99767238,0.01012674,0.99830642,0.00980355,0.99784025,0.00945055,0.99754124,0.01004266,0.99797422,0.00944256,7.81228346,5.52939520,1
4056616,0.15468044,0.06524598,0.02289232,0.84531956,1.00000000,0.99956034,0.00237628,1234.0,288.0,71.0,2.30632091,0.67016211,2.22222222,0.57668165,2.18309859,0.53890497,0.99938450,0.00242195,0.99906943,0.00234872,0.99915872,0.00221932,0.99930425,0.00241505,0.99900622,0.00232960,0.99913240,0.00213831,7.84636265,5.56221291,1
4072526,0.15321392,0.06365301,0.02271408,0.84678608,1.00000000,0.99982058,0.00084315,859.0,166.0,28.0,2.20838184,0.56240343,2.13253012,0.45972974,2.21428571,0.55787498,0.99946481,0.00073433,0.99917216,0.00076298,0.99871617,0.00069561,0.99934020,0.00075744,0.99904288,0.00078284,0.99859043,0.00070432,7.43679775,5.33951793,1
